지점번호,경도(degree),위도(degree),노장해발고도(m),지점명(한글),예보구역코드,법정동코드
302,126.1592,34.6647,19,장산도,21F20800,4691039021
303,125.1264,34.0522,22,가거도,11F20700,4691036032
304,126.8485,34.318,21,신지도,11F20300,4689032024
305,126.92009,33.98622,35.38,여서도,11F20300,4689035033
306,127.80083,34.43166,3.05,소리도,11F20400,4613034026
308,126.0731,34.687,5.6,옥도,21F20800,4691037027
310,129.265,37.3246,14,궁촌,11D20603,4223031030
311,128.0867,35.78919,595.71,가야산,11H20500,4889033034
312,129.1414,36.393,264,주왕산,11H10500,4775031034
313,128.75139,34.89335,54.65,양지암,11H20400,4831010100
314,127.74312,35.86621,1518.32,덕유봉,11F10300,4573032029
315,127.51079,35.30673,1088.86,성삼재,11F20600,4673037026
316,126.99743,35.11437,911.82,무등산,11F20500,2911012000
317,127.1142,35.7295,101.3,모악산,11F10200,4571035025
318,128.6704,37.6434,770,용평,11D20200,4276037027
319,130.87461,37.54075,30.35,천부,11E00100,4794032024
320,128.31372,38.33101,1262.62,향로봉,11D20100,4281032024
321,128.19631,38.11468,253.72,원통,11D20100,4281032021
322,127.66984,38.21552,263.76,상서,11D10100,4279033028
323,127.553,38.27469,291.41,마현,11D10100,4278032026
324,128.0745,36.9101,141,송계,11C10200,4315035028
325,128.0253,37.1445,230,백운,11C10200,4315036021
326,127.6112,37.5455,190.2,용문산,11B20500,4183040029
327,127.51199,36.65026,127.48,우암산,11C10300,4311112200
328,126.40608,33.24945,60.88,중문,11G00400,4913011900
329,126.56521,33.44711,374.66,아라,11G00200,4911011700
330,126.4501,33.2727,226,회수,11G00400,4913011400
351,126.9789,37.8953,135,남면,11B20300,4163032021
352,126.9436,37.7156,163,장흥면,11B20300,4163034025
353,127.0683,37.8414,88,덕정동,11B20300,4163011000
354,127.06234,36.9652,37,팽성읍,11B20600,4122025021
355,127.0364,37.1136,39,서탄면,11B20600,4122032021
356,127.0183,37.0481,32,고덕면,11B20600,4122033031
357,126.9817,37.0133,26,오성면,11B20600,4122034021
358,126.9214,36.9672,35,현덕면,11B20600,4122037025
359,127.1592,37.8542,114,선단동,11B20400,4165010400
360,127.2283,37.7861,119,내촌면,11B20400,4165032024
361,127.2447,38.0053,85,영중면,11B20400,4165036021
364,127.1189,37.3828,61,분당구,11B20600,4113510200
365,126.8953,37.4089,42,석수동,11B20600,4117110200
366,126.9753,37.355,114,오전동,11B20600,4143010500
367,126.7844,37.4061,26,신현동,11B20200,4139010400
368,127.1503,37.5992,49,수택동,11B20500,4131010500
369,126.9169,37.3642,124,수리산길,11B20600,4141010400
370,127.25,37.1789,241,이동묵리,11B20612,4146035027
371,127.1164,37.2772,121,기흥구,11B20612,4146025022
372,127.0267,37.8722,108,은현면,11B20304,4163031022
373,127.0458,37.7706,163,남방,11B20304,4163010300
374,126.9706,37.0467,50.4,청북,11B20606,4122035028
375,126.9875,37.7919,150,백석읍,11B20300,4163025022
400,127.04699,37.5134,59.58,강남,11B10100,1168010500
401,127.01562,37.48891,35.53,서초,11B10100,1165010800
402,127.14498,37.55551,56.9,강동,11B10100,1174010200
403,127.0967,37.51151,53.62,송파,11B10100,1171010100
404,126.84253,37.54992,79.1,강서,11B10100,1150010300
405,126.87819,37.52961,9.73,양천,11B10100,1147010200
406,127.02946,37.66612,55.5,도봉,11B10100,1132010600
407,127.09683,37.62101,52.05,노원,11B10100,1135010300
408,127.06036,37.58463,49.38,동대문,11B10100,1123010400
409,127.08682,37.5855,40.21,중랑,11B10100,1126010100
410,126.91809,37.49371,33.8,기상청,11B10100,1159010900
411,126.90277,37.55174,25.49,마포,11B10100,1144012300
412,126.94076,37.57046,100.63,서대문,11B10100,1141011400
413,127.0875,37.531,38,광진,11B10100,1121510500
414,126.99943,37.61172,125.93,성북,11B10100,1129013300
415,126.97609,37.52037,32.62,용산,11B10100,1117012900
416,126.9453,37.6444,70,은평,11B10100,1138011100
417,126.90015,37.46551,41.48,금천,11B10100,1154510200
418,126.93906,37.5249,10.66,한강,11B10100,1156011000
419,126.98736,37.55237,266.44,중구,11B10100,1114014200
421,127.03884,37.5472,33.71,성동,11B10100,1120011400
422,126.984,37.603,332.6,북악산,11B10100,1111018300
423,126.8265,37.49418,53.47,구로,11B10100,1153010900
424,127.02572,37.6397,55.68,강북,11B10100,1130510300
425,126.986,37.463,87.08,남현,11B10100,1162010300
430,127.0118333,37.27183333,103,경기,11B20600,4111513600
431,127.0739444,37.74602778,67,신곡,11B20300,4115010400
432,127.0378611,37.25511111,58,인계,11B20600,4111511400
433,126.7665833,37.49758333,29,부천,11B20204,4119510800
434,126.9589167,37.39158333,96,안양,11B20602,4117300000
435,126.8211944,37.32430556,32,고잔,11B20200,4127310100
436,127.1892778,37.23138889,123,역삼,11B20600,4146010200
437,126.8664722,37.47577778,68,광명,11B10103,4121010200
438,126.9374722,37.35872222,97,군포,11B20610,4141010500
439,127.0377778,37.20605556,66,진안,11B20604,4159025021
440,127.4423889,37.275,168,설봉,11B20700,4150010300
441,126.7047222,37.64683333,32,김포,11B20102,4157010300
442,127.2878333,37.41605556,53,지월,11B20700,4161025329
443,127.2919444,37.01972222,90,보개,11B20600,4155031029
444,127.2155556,37.53591667,37,하남,11B20504,4145010600
445,126.9709444,37.34172222,94,의왕,11B20609,4143010100
446,127.0657778,37.13738889,32,남촌,11B20600,4137010100
447,127.6812778,37.32622222,72,북내,11B20700,4167036021
448,127.4451667,37.39877778,131,산북,11B20700,4167038021
449,127.4522222,37.50727778,44,옥천,11B20500,4183034021
450,126.8333611,37.6555,50,주교,11B20300,4128110100
451,127.1529722,37.61069444,34,오남,11B20500,4136026221
452,127.2285286,37.9312975,109,신북,11B20400,4165034022
453,126.8983333,37.44,37,소하,11B10100,4121010400
454,127.0696111,37.97125,91,하봉암,11B20400,4125011000
455,127.512,37.82822222,92,읍내,11B20400,4182025021
456,127.0778056,38.09361111,82,연천,11B20400,4180025021
457,127.1941806,37.52202222,52,춘궁,11B20500,4145011800
458,127.3057806,37.47469444,48,퇴촌,11B20700,4161034026
459,127.1967556,37.345475,89,오포,11B20700,4161025024
460,127.4039389,37.36640278,182,실촌,11B20700,4161025627
461,127.3601111,37.24611111,88,마장,11B20700,4150034021
462,127.4823056,37.16913889,84,모가,11B20700,4150036021
463,127.5412417,37.3327,57,흥천,11B20700,4167032000
464,127.6625722,37.20612778,86,점동,11B20700,4167031021
465,127.5451083,37.20171944,85,가남,11B20700,4167025021
466,127.533325,37.39278889,60,금사,11B20700,4167033021
467,127.1944778,37.05979167,55,양성,11B20600,4155036021
468,127.2592222,36.94306944,63,서운,11B20600,4155033021
469,127.4770111,37.0906,95,일죽,11B20600,4155039028
470,127.2633861,37.08270833,68,고삼,11B20600,4155042024
471,127.0648972,37.06644167,74,송탄,11B20600,4122010100
472,126.8534889,36.98447778,25,포승,11B20200,4122036022
473,127.1861361,37.84861389,130,가산,11B20400,4165033021
474,127.27225,38.08660556,148,영북,11B20400,4165039021
475,127.2511972,38.15774722,197,관인,11B20400,4165040024
476,127.2904314,37.90134222,151.84,화현,11B20400,4165041021
477,127.0439528,37.90553056,80,상패,11B20400,4125011200
478,127.0148889,38.05586111,36,왕징,11B20400,4180035021
479,126.8863056,37.97905556,29,장남,11B20400,4180038021
480,126.9949444,38.04469444,35,미산,11B20400,4180034024
481,126.7160889,37.80241389,37,탄현,11B20300,4148032027
482,126.8512417,37.77626667,53,광탄,11B20300,4148035027
483,126.7870639,37.92596944,35,진동,11B20300,4148040021
484,127.3164778,37.64657222,128,창현,11B20500,4136025628
485,127.4946917,37.67618889,83,신천,11B20400,4182031021
486,127.4143944,37.73474722,61,외서,11B20400,4182032021
487,126.5838672,37.646345,42,대곶,11B20100,4157034000
488,126.7411667,37.21497222,43,송산,11B20200,4159034023
489,126.7109167,37.16375,25,서신,11B20200,4159035029
490,127.11,38.0244444,72,초성리,11B20400,4180032021
491,127.0208333,38.0822222,39,군남,11B20400,4180031023
492,126.8575,37.4217,36.4,학온동,11B10100,4121010700
495,127.18868,36.96127,25.03,하개정,11B20600,4155034023
496,127.2688,36.4585,30.3,세종금남,11C20400,3611034040
